Player 1,Player 2,Points P1,Points P2,Time(ms) P1,Time(ms) P2,Timeouts P1,Timeouts P2
EL_CHOCU,GreedyBot,0,0,0,0,False,False
EL_CHOCU,hesido_yo,0,0,0,0,False,False
EL_CHOCU,KleisliBot,0,0,0,0,False,False
EL_CHOCU,Pole,0,0,0,0,False,False
EL_CHOCU,qwerty,0,0,0,0,False,False
EL_CHOCU,RandomBot,0,0,0,0,False,False
GreedyBot,EL_CHOCU,0,0,0,0,False,False
GreedyBot,hesido_yo,0,0,0,0,False,False
GreedyBot,KleisliBot,0,0,0,0,False,False
GreedyBot,Pole,0,0,0,0,False,False
GreedyBot,qwerty,0,0,0,0,False,False
GreedyBot,RandomBot,0,0,0,0,False,False
hesido_yo,EL_CHOCU,0,0,0,0,False,False
hesido_yo,GreedyBot,0,0,0,0,False,False
hesido_yo,KleisliBot,0,0,0,0,False,False
hesido_yo,Pole,0,0,0,0,False,False
hesido_yo,qwerty,0,0,0,0,False,False
hesido_yo,RandomBot,0,0,0,0,False,False
KleisliBot,EL_CHOCU,0,0,0,0,False,False
KleisliBot,GreedyBot,0,0,0,0,False,False
KleisliBot,hesido_yo,0,0,0,0,False,False
KleisliBot,Pole,0,0,0,0,False,False
KleisliBot,qwerty,0,0,0,0,False,False
KleisliBot,RandomBot,0,0,0,0,False,False
Pole,EL_CHOCU,0,0,0,0,False,False
Pole,GreedyBot,0,0,0,0,False,False
Pole,hesido_yo,0,0,0,0,False,False
Pole,KleisliBot,0,0,0,0,False,False
Pole,qwerty,0,0,0,0,False,False
Pole,RandomBot,0,0,0,0,False,False
qwerty,EL_CHOCU,0,0,0,0,False,False
qwerty,GreedyBot,0,0,0,0,False,False
qwerty,hesido_yo,0,0,0,0,False,False
qwerty,KleisliBot,0,0,0,0,False,False
qwerty,Pole,0,0,0,0,False,False
qwerty,RandomBot,0,0,0,0,False,False
RandomBot,EL_CHOCU,0,0,0,0,False,False
RandomBot,GreedyBot,0,0,0,0,False,False
RandomBot,hesido_yo,0,0,0,0,False,False
RandomBot,KleisliBot,0,0,0,0,False,False
RandomBot,Pole,0,0,0,0,False,False
RandomBot,qwerty,0,0,0,0,False,False
